name,nation,position,age,matches_played,minutes_played,goals,assists,penalties_scored,yellow_cards,red_cards,team_name
Martin Erlić,Croatia,DEFENDER,27,1.0,45.0,0.0,0.0,0.0,1.0,0.0,Bologna
Sven Ulreich,Germany,GOALKEEPER,36,1.0,45.0,0.0,0.0,0.0,0.0,1.0,Bayern München
John Mellberg,Sweden,DEFENDER,18,1.0,45.0,0.0,0.0,0.0,0.0,0.0,Salzburg
Alexandre Brito,Portugal,MIDFIELDER,19,1.0,45.0,0.0,0.0,0.0,0.0,0.0,Sporting CP
Indrit Tuci,Albania,FORWARD,24,2.0,42.0,0.0,0.0,0.0,0.0,0.0,Sparta Praha
Senny Mayulu,France,MIDFIELDER,18,3.0,41.0,1.0,0.0,0.0,0.0,0.0,Paris
Lukas Klostermann,Germany,DEFENDER,28,3.0,41.0,0.0,0.0,0.0,0.0,0.0,Leipzig
Ansu Fati,Spain,FORWARD,22,4.0,40.0,0.0,0.0,0.0,0.0,0.0,Barcelona
Miguel Chaiwa,Zambia,MIDFIELDER,20,2.0,39.0,0.0,0.0,0.0,1.0,0.0,Young Boys
Tyler Morton,England,MIDFIELDER,22,1.0,39.0,0.0,0.0,0.0,1.0,0.0,Liverpool
Lorenzo Torriani,Italy,GOALKEEPER,20,1.0,39.0,0.0,0.0,0.0,0.0,0.0,Milan
Jarzinho Malanga,Germany,FORWARD,18,3.0,37.0,0.0,0.0,0.0,0.0,0.0,Stuttgart
Lucas Michal,France,MIDFIELDER,19,3.0,37.0,0.0,0.0,0.0,0.0,0.0,Monaco
Francesco Camarda,Italy,FORWARD,17,4.0,36.0,0.0,1.0,0.0,1.0,0.0,Milan
Sergi Dominguez,Spain,DEFENDER,20,2.0,35.0,0.0,0.0,0.0,0.0,0.0,Barcelona
Afonso Moreira,Portugal,FORWARD,20,1.0,35.0,0.0,0.0,0.0,0.0,0.0,Sporting CP
Giorgio Scalvini,Italy,DEFENDER,21,1.0,35.0,0.0,0.0,0.0,0.0,0.0,Atalanta
Pau Victor,Spain,FORWARD,23,5.0,34.0,0.0,0.0,0.0,0.0,0.0,Barcelona
Luis Palma,Honduras,MIDFIELDER,25,2.0,34.0,0.0,0.0,0.0,0.0,0.0,Celtic
Eljif Elmas,North Macedonia,MIDFIELDER,25,3.0,33.0,0.0,0.0,0.0,0.0,0.0,Leipzig
Hiroki Ito,Japan,DEFENDER,25,2.0,33.0,0.0,0.0,0.0,0.0,0.0,Bayern München
Hirving Lozano,Mexico,FORWARD,29,2.0,33.0,0.0,0.0,0.0,0.0,0.0,PSV
Stefan Hierländer,Austria,MIDFIELDER,34,6.0,32.0,0.0,0.0,0.0,0.0,0.0,Sturm Graz
Alen Mustafić,Bosnia and Herzegovina,MIDFIELDER,25,4.0,32.0,0.0,0.0,0.0,0.0,0.0,S. Bratislava
Zaid Romero,Argentina,DEFENDER,25,1.0,32.0,0.0,0.0,0.0,0.0,0.0,Club Brugge
João Rego,Portugal,MIDFIELDER,19,4.0,30.0,0.0,0.0,0.0,1.0,0.0,Benfica
Salih Özcan,Türkiye,MIDFIELDER,27,3.0,29.0,0.0,0.0,0.0,0.0,0.0,B. Dortmund
Kosta Nedeljković,Serbia,DEFENDER,19,2.0,29.0,0.0,0.0,0.0,0.0,0.0,Aston Villa
Michel Aebischer,Switzerland,MIDFIELDER,28,1.0,29.0,0.0,0.0,0.0,1.0,0.0,Bologna
Rhodri Smith,Switzerland,DEFENDER,18,1.0,28.0,0.0,0.0,0.0,0.0,0.0,Young Boys
Davide Bartesaghi,Italy,DEFENDER,19,1.0,27.0,0.0,0.0,0.0,0.0,0.0,Milan
Héctor Fort,Spain,DEFENDER,18,1.0,27.0,0.0,0.0,0.0,0.0,0.0,Barcelona
Abdu Conté,Portugal,DEFENDER,27,1.0,27.0,0.0,0.0,0.0,0.0,0.0,Young Boys
Trey Nyoni,England,FORWARD,17,1.0,26.0,0.0,0.0,0.0,0.0,0.0,Liverpool
Eliot Matazo,Belgium,MIDFIELDER,23,3.0,25.0,0.0,0.0,0.0,0.0,0.0,Monaco
Aleksandar Katai,Serbia,MIDFIELDER,34,2.0,24.0,0.0,0.0,0.0,0.0,0.0,Crvena Zvezda
Assan Ouedraogo,Germany,MIDFIELDER,18,2.0,23.0,0.0,0.0,0.0,0.0,0.0,Leipzig
Chuba Akpom,Nigeria,FORWARD,29,1.0,23.0,0.0,0.0,0.0,0.0,0.0,Lille
Martin Suchomel,Czechia,DEFENDER,22,3.0,22.0,0.0,0.0,0.0,0.0,0.0,Sparta Praha
Vasilije Adžić,Montenegro,MIDFIELDER,18,1.0,22.0,0.0,0.0,0.0,0.0,0.0,Juventus
Kassoum Ouattara,France,DEFENDER,20,2.0,20.0,0.0,0.0,0.0,0.0,0.0,Monaco
Pablo Torre,Spain,MIDFIELDER,22,2.0,20.0,0.0,0.0,0.0,0.0,0.0,Barcelona
Bartol Franjić,Croatia,DEFENDER,25,2.0,20.0,0.0,0.0,0.0,0.0,0.0,Shakhtar
André Gomes,Portugal,MIDFIELDER,31,2.0,20.0,0.0,0.0,0.0,0.0,0.0,Lille
Patric Pfeiffer,Germany,DEFENDER,25,1.0,20.0,0.0,0.0,0.0,0.0,0.0,Young Boys
